Country,year,Health expenditure per capita(US),Hospital beds(per 1000 people),Incidence of Malaria(per 1000 population),Number of nurses(per 1000 people),Number of physicians(per 1000 people),Population growth(annual percent),Prevalence of HIV(percent),Region
Afghanistan,2006,27.83657074,0.42,20.5261008442815,0.44,0.1596,2.9905238360968,0.1,South Asia
Afghanistan,2007,31.27183914,0.42,21.5489325393271,0.4956,0.1743,2.49383039084495,0.1,South Asia
Afghanistan,2008,38.10266113,0.42,17.8362318175239,0.4971,0.1744,2.26827304079294,0.1,South Asia
Afghanistan,2009,41.72274399,0.42,14.771709855525,0.6078,0.2126,2.39697830237036,0.1,South Asia
Afghanistan,2013,55.03462982,0.53,9.01498695951477,0.2495,0.2846,3.49459192739625,0.1,South Asia
Afghanistan,2014,59.00893402,0.5,12.6663736937709,0.1476,0.2983,3.35560233082199,0.1,South Asia
Afghanistan,2015,58.90652847,0.5,14.9116835456294,0.1299,0.285,3.07705362914441,0.1,South Asia
Afghanistan,2016,60.18867111,0.5,26.1107132491267,0.1482,0.2782,2.77803478841236,0.1,South Asia
Argentina,2013,1421.65759277,4.78,1,4.2463,3.9385,1.11910919999772,0.4,Latin America & Caribbean
Argentina,2016,1153.53405762,4.95,1,2.5821,4.0013,1.05718157762752,0.4,Latin America & Caribbean
Argentina,2017,1529.61621094,4.99,1,2.5996,3.9901,1.03713389686514,0.4,Latin America & Caribbean
Armenia,2000,26.12908936,6.44,0.0459343685832375,5.9089,2.7007,-0.630760587863762,0.1,Europe & Central Asia
Armenia,2001,32.25933838,5.03,0.0258958149085157,5.4519,2.6187,-0.617979926225355,0.1,Europe & Central Asia
Armenia,2002,59.63238907,4.35,0.0171392258870868,5.1295,2.5633,-0.549251281615873,0.1,Europe & Central Asia
Armenia,2003,66.77802277,4.42,0.00960920999702446,4.9382,2.4563,-0.53001538172706,0.1,Europe & Central Asia
Armenia,2004,72.17178345,4.44,0.0156629336674759,4.8609,2.4604,-0.572322312384323,0.2,Europe & Central Asia
Armenia,2005,96.35484314,4.46,0.00234799893467934,4.9884,2.5643,-0.650389280091987,0.2,Europe & Central Asia
Armenia,2006,126.25294495,4.42,1,5.1117,2.5897,-0.773158374746929,0.2,Europe & Central Asia
Armenia,2007,172.60186768,4.07,1,5.1419,2.6724,-0.872060059332368,0.2,Europe & Central Asia
Armenia,2008,266.31158447,3.82,1,5.1981,2.7432,-0.856135895388362,0.2,Europe & Central Asia
Armenia,2009,252.83560180999999,3.72,1,5.1799,2.7679,-0.673638853162549,0.2,Europe & Central Asia
Armenia,2010,297.22906494,3.73,1,5.2396,2.8419,-0.373954889662394,0.2,Europe & Central Asia
Armenia,2011,330.57556152,3.74,1,5.2988,2.8677,-0.0270427628367578,0.2,Europe & Central Asia
Armenia,2012,336.32055664,4.05,1,5.2888,2.8968,0.26742945492201,0.2,Europe & Central Asia
Armenia,2013,396.23254395,4.06,1,5.2009,2.9031,0.461930535014127,0.2,Europe & Central Asia
Armenia,2014,405.72888184,4.16,1,5.1552,2.8928,0.509812126446043,0.2,Europe & Central Asia
Armenia,2015,364.97280884,4.2,1,4.9535,2.9143,0.450705991935445,0.2,Europe & Central Asia
Azerbaijan,2000,19.14171791,8.69,8.16815916669789,8.6612,3.5743,0.821519963674211,0.1,Europe & Central Asia
Azerbaijan,2001,19.18987465,8.51,5.61163060831561,8.5509,3.548,0.774765939386613,0.1,Europe & Central Asia
Azerbaijan,2002,20.59066963,8.4,2.65795390078373,8.3524,3.5618,0.746173582716985,0.1,Europe & Central Asia
Azerbaijan,2003,23.80161095,8.27,2.50634385789758,8.2922,3.5505,0.757650955616913,0.1,Europe & Central Asia
Azerbaijan,2004,27.38257599,8.24,1.98636305158883,8.1916,3.5568,0.875427280482454,0.1,Europe & Central Asia
Azerbaijan,2005,35.07611465,8.21,1.23225451656924,8.2422,3.5819,1.02226559239828,0.1,Europe & Central Asia
Azerbaijan,2006,50.24787903,7.94,0.720428428206536,8.2576,3.5649,1.09858657441812,0.1,Europe & Central Asia
Azerbaijan,2007,75.39520264,7.93,0.538231908181623,8.2338,3.7124,1.13385546615645,0.1,Europe & Central Asia
Azerbaijan,2008,107.36143494,7.67,0.354851110388266,8.1608,3.6844,2.09985403259251,0.1,Europe & Central Asia
Azerbaijan,2009,129.7258606,7.54,0.380005846243788,8.1077,3.6751,2.07614826384645,0.1,Europe & Central Asia
Azerbaijan,2010,145.84526062,5.06,0.240678520886082,7.3513,3.6629,1.18978770786007,0.1,Europe & Central Asia
Azerbaijan,2011,176.40847778,4.62,0.0190146603030937,6.9594,3.4376,1.30300085487651,0.1,Europe & Central Asia
Azerbaijan,2012,222.98551941,4.65,0.0140787565642202,6.8002,3.4901,1.32876382733755,0.1,Europe & Central Asia
Azerbaijan,2013,239.95080566,4.69,1,7.263,3.4558,1.29344702700591,0.1,Europe & Central Asia
Azerbaijan,2014,267.3097229,4.82,1,6.4338,3.446,1.24820899735588,0.1,Europe & Central Asia
Belize,2000,131.96932983,1.9,8.70823883780759,1.2252,1.015,3.42669284640959,1.1,Latin America & Caribbean
Belize,2009,241.48535156,1.1,1.17912035778933,1.8112,0.7658,2.520902564359,1.4,Latin America & Caribbean
Belize,2010,242.34942627,1.2,0.674157303370786,1.959,0.828,2.45178026956863,1.4,Latin America & Caribbean
Belize,2012,246.76046753,1.08,0.141497298687934,1.1036,1.145,2.32413036818372,1.4,Latin America & Caribbean
Belize,2014,292.44442749,1.27,0.0779256998958257,177.3062,0.5659,2.19127515015067,1.4,Latin America & Caribbean
Belize,2017,282.58279419,1.04,0.0269974236744265,185.314,1.1229,1.98239700826474,1.3,Latin America & Caribbean
Benin,2010,31.04154778,0.5,387.755028831686,0.452,0.0558,2.80597623284658,1.2,Sub-Saharan Africa
Bhutan,2012,85.97568512,1.74,0.157944411271838,1.049,0.2765,1.18793062766492,0.3,South Asia
Bolivia,2007,64.47034454,1.1,4.56578358107419,0.6084,0.3316,1.71989014906645,0.2,Latin America & Caribbean
Bolivia,2011,121.37858582,1.07,2.08921509613303,0.9928,0.4671,1.62235980079652,0.2,Latin America & Caribbean
Bolivia,2016,210.23809814,1.27,1.50055436592387,1.1179,1.5901,1.48019596651052,0.2,Latin America & Caribbean
Botswana,2003,267.4956665,2.2,1.6314901958397,2.5657,0.3033,1.7301852005081,25.3,Sub-Saharan Africa
Botswana,2007,311.03723145,2.4,1.03345997574385,3.0738,0.378,2.13120801829791,23.8,Sub-Saharan Africa
Botswana,2008,330.35922241,1.8,1.93459387701432,2.9317,0.3738,2.11967861163802,23.6,Sub-Saharan Africa
Botswana,2010,398.57070923,1.8,1.69194719667349,2.9269,0.4122,1.70592328995544,23.2,Sub-Saharan Africa
Brazil,2000,312.53927612,2.82,21.4404658439761,3.7709,1.1337,1.42416744229362,0.3,Latin America & Caribbean
Brazil,2001,270.18981934,2.78,12.9859226364675,2.9897,1.3895,1.36695595542708,0.3,Latin America & Caribbean
Brazil,2002,246.94700623,2.59,11.1726579816445,3.377,1.4181,1.31274754952678,0.4,Latin America & Caribbean
Brazil,2003,251.4379425,2.42,12.6167804960735,3.6596,1.475,1.25737996705435,0.4,Latin America & Caribbean
Brazil,2005,384.93200684,2.52,17.422174719209,3.7654,1.6663,1.14588477164177,0.4,Latin America & Caribbean
Brazil,2006,485.59933472,2.48,15.2935606110188,3.7603,1.7007,1.09019257285986,0.4,Latin America & Caribbean
Brazil,2007,602.68591309,2.47,13.8488276651135,6.5112,1.7306,1.03786468320243,0.4,Latin America & Caribbean
Brazil,2008,707.49121094,2.44,8.6114769978259,6.4453,1.7802,0.994310571973971,0.4,Latin America & Caribbean
